"title","abstract","date","source","origin_of_life","synthetic_biology","dominant_theme"
"The origin of life as a planetary phenomenon","We advocate an integrative approach between laboratory experiments in prebiotic chemistry  and geologic, geochemical, and astrophysical observations to help assemble a robust _","science.org","Google Scholar","2","0","origin_of_life"
"An origin of life on Mars","_ us about the relationship of that life to Earth_s life. To determine that _ life_something that  can only be done on organisms_alive or dead. We would be convinced of a shared origin of life _","cshperspectives.cshlp.org","Google Scholar","1","0","origin_of_life"
"Peptide amyloids in the origin of life","_ when sustainable life first occurred on our planet [11], a reconstruction of the origin of life must  _ In presenting a hypothesis on the _origin of life,_ we do not mean to imply that life itself is a _","Elsevier","Google Scholar","1","0","origin_of_life"
"Paradoxes in the origin of life","_ for _not life_ without controversy, as can states of matter that everyone agrees constitute _life_. _  This is illustrated by a recent report on the limits of organic life in the Solar System, whose _","Springer","Google Scholar","1","0","origin_of_life"
"Approaches to the origin of life on earth","I discuss briefly the history of the origin of life field, focusing on the _Miller_ era of prebiotic  synthesis, through the _Orgel_ era seeking enzyme free template replication of single stranded _","mdpi.com","Google Scholar","2","1","origin_of_life"
"The origin of life: models and data","_ Set of life, which is the set of orthologous genes conserved throughout the tree of life and  found _ We also consider the components and properties of the Molecular Toolbox of Life, which _","Springer","Google Scholar","1","0","origin_of_life"
"The origin of biological homochirality along with the origin of life","_ , ie, the origin of homochirality, for the problem of the origin of life [1_3]. The origin of life is a  _ definition of life [4_6]. In this field, relevant issues are often not clearly defined. However, the _","journals.plos.org","Google Scholar","1","0","origin_of_life"
"Clays and the origin of life: The experiments","_ in the origin of life on Mars. This has put clays front and center in the studies on the origin of  life not _ One of the major questions is: What was the catalytic role of Fe-clays in the origin and _","mdpi.com","Google Scholar","1","0","origin_of_life"
"Iron catalysis at the origin of life","Iron_sulphur proteins are ancient and drive fundamental processes in cells, notably electron  transfer and CO 2 fixation. Iron_sulphur minerals with equivalent structures could have _","Wiley Online Library","Google Scholar","1","0","origin_of_life"
"JBS Haldane and the origin of life","In 1929 the British biologist John Burdon Sanderson Haldane published a hypothesis on the  origin of life on earth, which was one of the most emblematic of the interwar period. It was a _","Springer","Google Scholar","1","0","origin_of_life"
"Milestones at the Origin of Life","Abstract:                _and genetics, and they are mortal. The molecular structures and chemical reactions underlying these features are common from the simplest bacteria to human beings. The origin of_         _ More           Living organisms have some common structures, chemical reactions and molecular structures. The organisms consist of cells with cell division, they have homochirality of protein and carbohydrate units, and metabolism, and genetics, and they are mortal. The molecular structures and chemical reactions underlying these features are common from the simplest bacteria to human beings. The origin of life is evolutionary with the emergence of a network of spontaneous biochemical reactions, and the evolution has taken place over a very long time. The evolution contains, however some 'landmarks' and bottlenecks, which in a revolutionary manner directed the evolution, and the article tries to establish the order of these events. The article advocates that a possible order in the emergence of life is that the first milestone in prebiotic evolution is at the emergence of homochirality in proteins. The homochirality of peptides is, however, with instability and racemization which causes aging of the peptides and mortality. The metabolism and genetics are established through homochiral enzymes in the Earth's crust for $\\approx$ 4 Gyr ago. Finally, the cells with cell division are established in the Hot Springs environment at the interface between the crust and the Hadean Ocean.         _ Less","","arXiv","3","3","multiple"
"Fool's gold: ligand-receptor interactions and the origins of life","Abstract:                The origins of_         _ More           The origins of life is a question that continues to intrigue scientists across disciplines. One theory - the iron-sulphur theory - suggests that reactions essential to the synthesis of biological materials got their catalytic 'spark' from mineral surfaces such as iron pyrite, commonly known as fool's gold. Additionally, the binding affinity of the ligands synthesised in this 'surface metabolism' acted as an early version of natural selection: more strongly-binding ligands were accumulated into further autocatalytic reactions and the aggregation of complex biological materials. Ligand-receptor binding is thus fundamental to the origins of life. In this paper, we use the iron-sulphur theory as a lens through which to review ligand-receptor interactions as they are more commonly understood today. In particular we focus on the electron tunnelling theory of receptor activation that has emerged from research into quantum biology. We revisit criticism against this theory, particularly the lack of evidence for electron transfer in receptors, to see what insights might be offered by ligand-receptor interactions mediated by iron pyrite at the origins of life. What emerges from this comparison is the central importance of redox activity in receptors, in particular with respect to the recurring presence of the disulphide bond. While the paper is a speculative exercise, we conclude that conductivity in biomolecules, particularly the selective conductivity conferred by appropriate ligand-receptor binding, is a powerful tool for understanding diverse phenomena such as pharmacological potency and viral infection. As such it deserves further investigation.         _ Less","","arXiv","0","1","synthetic_biology"
"A technical solution for the rule of law, peace, security, and evolvability of global cyberspace -- solve the three genetic defects of IP network","Abstract:                Since its inception in the 1960s, the internet has profoundly transformed human life. However, its original design now struggles to meet the evolving demands of modern society. Three primary defects have emerged: First, the concentration of power among a few dominant entities has intensified international conflicts and_         _ More           Since its inception in the 1960s, the internet has profoundly transformed human life. However, its original design now struggles to meet the evolving demands of modern society. Three primary defects have emerged: First, the concentration of power among a few dominant entities has intensified international conflicts and widened the technological divide. Second, the Internet Protocol (IP)-based system lacks inherent security, leading to frequent global cybersecurity incidents. Third, the rigidity of the IP protocol has hindered the sustainable development of cyberspace, as it resists necessary adaptations and innovations. Addressing these issues is crucial for the future resilience and security of the global digital landscape.   To address these challenges, we propose the Co-governed Multi-Identifier Network (CoG-MIN briefly as MIN), a novel network architecture that leverages blockchain technology to ensure equal participation of countries worldwide in cyberspace governance and the rule of law. As a next-generation network system, CoG-MIN integrates mechanisms such as user authentication, data signatures, and encryption to significantly enhance network security. In testing environments, CoG-MIN has consistently withstood extensive attacks during various international cybersecurity competitions. Additionally, CoG-MIN supports the evolution and interoperability of different identifier systems, remains IP-compatible, and facilitates a gradual transition away from IP, providing an adaptable ecosystem for diverse network architectures. This adaptability fosters the development and evolution of diverse network architectures within CoG-MIN, making it a natural progression for the internet's future development.   We further introduce a trilogy of cyberspace security theorems... (Due to character limitations, the full abstract is available in the paper PDF.)         _ Less","","arXiv","0","2","synthetic_biology"
